Q95,Q7min,BFI,Q710,MAF,Qmed,Q10,MaxQ,MedAMax,Max30Day,Flashiness,RBI,CV,Model,Period,Scenario,Catchment
14.7088,13.82857143,0.342471916,14.0882,55.17532719,36.008,125.972,558.26,280.375,5350.306,10.65294246,0.137573358,91.40764211,CM1.ssp5,2080s,ssp5,18003
15.024,13.97114286,0.355914053,14.2498,56.88732956,39.524,123.974,376.49,263.105,5317.242,10.44475506,0.135871158,84.49192596,CM2.ssp5,2080s,ssp5,18003
15.8388,14.183,0.387327621,14.4479,59.45354458,42.219,128.144,352.51,246.9,5514.42,10.07361669,0.131361803,80.43762314,CM3.ssp5,2080s,ssp5,18003
16.367,14.21614286,0.36063383,14.6627,68.1023187,46.118,150.992,483.55,307.56,6694.34,11.5233091,0.146605979,85.20852198,CM4.ssp5,2080s,ssp5,18003
14.5698,13.82814286,0.310120099,13.9213,59.10935813,39.849,132.95,509.03,261.07,6005.744,11.42623783,0.14238371,88.80669103,CM5.ssp5,2080s,ssp5,18003
15.219,14.207,0.358702428,14.258,58.07599389,38.623,126.666,545.67,275.1,5698.281,10.286484,0.138812645,86.58819446,CM6.ssp5,2080s,ssp5,18003
14.817,13.96614286,0.344754875,14.1182,52.91875851,34.181,117.578,451.65,255.705,5836.031,10.0827428,0.13554519,89.54541933,CM7.ssp5,2080s,ssp5,18003
15.5774,13.992,0.400850083,14.418,54.95321301,37.947,120.216,359.37,242.505,5833.665,9.720877682,0.12677001,83.34428118,CM8.ssp5,2080s,ssp5,18003
16.0132,14.20142857,0.399661614,14.7335,57.34351054,39.991,124.284,350.68,242.67,6313.611,9.583218844,0.135519844,80.93076535,CM9.ssp5,2080s,ssp5,18003
15.8374,14.177,0.394378181,14.3507,55.44677941,37.185,122.012,397.48,230.26,6215.72,9.635167389,0.128937204,83.08648178,CM10.ssp5,2080s,ssp5,18003
16.1158,14.17071429,0.394511304,14.6817,55.25316957,37.486,121.346,330.53,226.885,4945.588,9.260601397,0.122234289,80.6138485,CM11.ssp5,2080s,ssp5,18003
16.1914,14.62357143,0.427130844,14.6409,57.16749411,41.154,119.446,435.27,267.66,5212.861,9.43612041,0.140033846,80.57109989,CM12.ssp5,2080s,ssp5,18003
14.5374,12.31742857,0.452530957,12.808,50.10983154,37.574,103.47,357.33,191.665,4266.198,8.691994442,0.128201127,74.05360511,CM1.ssp1,Baseline,ssp1,18006
14.8817,12.23071429,0.448250975,12.9459,50.70429577,39.744,99.711,382.89,184.195,4602.934,8.088961611,0.122113938,70.80828532,CM2.ssp1,Baseline,ssp1,18006
14.63785,12.32428571,0.455611715,12.8207,48.55230726,37.1685,98.2454,278.16,189.48,4075.637,8.117756364,0.122828498,71.14234244,CM3.ssp1,Baseline,ssp1,18006
14.26385,12.21657143,0.44153353,12.6002,47.95388921,35.978,97.9117,285.14,199.095,4229.969,8.39436758,0.122341931,74.43923564,CM4.ssp1,Baseline,ssp1,18006
14.44055,12.06728571,0.455509804,12.6098,49.4769812,38,99.2314,350.84,184.26,4531.442,8.294178546,0.122960345,71.22209408,CM5.ssp1,Baseline,ssp1,18006
14.473,12.01528571,0.461269725,12.5519,48.09333628,35.8285,98.4779,276.22,181.755,4275.133,8.270607338,0.114892272,72.543549,CM6.ssp1,Baseline,ssp1,18006
14.96055,12.06614286,0.453752951,12.9338,50.18038985,38.0745,100.306,326.61,202.1,4393.952,8.249696702,0.124434468,73.31623927,CM7.ssp1,Baseline,ssp1,18006
