"Model","Scenario","Catchment","Period","Pct_Q95","Pct_BFI"
"CM1.ssp5","ssp5",15003,"2080s",-9.75072604734575,-19.0002072682894
"CM2.ssp5","ssp5",15003,"2080s",-13.3419064887071,-16.3360013666424
"CM3.ssp5","ssp5",15003,"2080s",-5.2305314346204,-10.6686415277054
"CM4.ssp5","ssp5",15003,"2080s",1.41881765195669,-8.73481736983442
"CM5.ssp5","ssp5",15003,"2080s",-11.9145358326327,-25.8950595304375
"CM6.ssp5","ssp5",15003,"2080s",-9.05174192589903,-21.1786395878813
"CM7.ssp5","ssp5",15003,"2080s",-12.6126320095596,-15.7308745547084
"CM8.ssp5","ssp5",15003,"2080s",-6.76606287748206,-11.6116983937754
"CM9.ssp5","ssp5",15003,"2080s",-12.0563358523115,-14.9793457957956
"CM10.ssp5","ssp5",15003,"2080s",-6.80569109866968,-11.2789702423877
"CM11.ssp5","ssp5",15003,"2080s",-5.41463036226825,-10.8173618403094
"CM12.ssp5","ssp5",15003,"2080s",-3.60179736697691,-10.7051395064649
"CM1.ssp1","ssp1",15006,"2080s",-3.08587688798461,-8.31416372031343
"CM2.ssp1","ssp1",15006,"2080s",-3.41063338515668,-5.34591840509837
"CM3.ssp1","ssp1",15006,"2080s",-1.04342558100565,-8.39100519977128
"CM4.ssp1","ssp1",15006,"2080s",12.5192229231397,-5.78378801485307
"CM5.ssp1","ssp1",15006,"2080s",-2.73900867466588,-10.0930700396019
"CM6.ssp1","ssp1",15006,"2080s",-2.41231397771567,-9.29906946176612
"CM7.ssp1","ssp1",15006,"2080s",-6.05636707502874,-6.65337117053302
"CM8.ssp1","ssp1",15006,"2080s",-2.86294324056117,-10.272617488949
"CM9.ssp1","ssp1",15006,"2080s",-0.602975748481783,-4.38060177446189
"CM10.ssp1","ssp1",15006,"2080s",3.23539612545211,-3.95474848446757
"CM11.ssp1","ssp1",15006,"2080s",4.87664945496272,-0.778084263743236
"CM12.ssp1","ssp1",15006,"2080s",-0.0171099654249512,-3.80685444435895
"CM1.ssp3","ssp3",15006,"2080s",-7.56694931708677,-17.4117185273556
"CM2.ssp3","ssp3",15006,"2080s",-9.22715330743758,-12.7880856751784
"CM3.ssp3","ssp3",15006,"2080s",-6.90633015815728,-10.5502905492869
"CM4.ssp3","ssp3",15006,"2080s",0.97770553867957,-11.0433966285093
"CM5.ssp3","ssp3",15006,"2080s",-9.68394552557027,-19.7865793456158
"CM6.ssp3","ssp3",15006,"2080s",-7.09499312282488,-15.3274465381203
"CM7.ssp3","ssp3",15006,"2080s",-10.072948823914,-12.2737998800837
"CM8.ssp3","ssp3",15006,"2080s",-5.93927758355656,-13.1557175493207
"CM9.ssp3","ssp3",15006,"2080s",-10.5717635422749,-12.8601726998886
"CM10.ssp3","ssp3",15006,"2080s",-4.04892012281176,-11.1662897898562
"CM11.ssp3","ssp3",15006,"2080s",-4.85213135815545,-12.4807676617022
"CM12.ssp3","ssp3",15006,"2080s",-0.27795623077146,-3.87619805881454
"CM1.ssp5","ssp5",15006,"2080s",-8.7599875344475,-17.364117719689
"CM2.ssp5","ssp5",15006,"2080s",-11.3658605671075,-14.3595097129751
"CM3.ssp5","ssp5",15006,"2080s",-4.20979363503951,-10.4179095536797
"CM4.ssp5","ssp5",15006,"2080s",5.22219304026944,-9.71931537440798
"CM5.ssp5","ssp5",15006,"2080s",-10.5289692207112,-23.664272320944
"CM6.ssp5","ssp5",15006,"2080s",-7.88272744033664,-19.8740744139521
"CM7.ssp5","ssp5",15006,"2080s",-11.2176202664399,-13.4733261414817
"CM8.ssp5","ssp5",15006,"2080s",-5.99765204926805,-10.5027799827161
"CM9.ssp5","ssp5",15006,"2080s",-10.6517499237422,-14.0892733055223
"CM10.ssp5","ssp5",15006,"2080s",-6.16248423697364,-10.7213065531295
"CM11.ssp5","ssp5",15006,"2080s",-3.83413997871829,-7.81754596257294
"CM12.ssp5","ssp5",15006,"2080s",-3.51270818469723,-9.15548982957248
"CM1.ssp1","ssp1",15007,"2080s",-3.17785283499946,-4.8029748378618
"CM2.ssp1","ssp1",15007,"2080s",-8.07953244847482,-4.84349395214922
"CM3.ssp1","ssp1",15007,"2080s",-1.2778739795738,-7.72444867602203
"CM4.ssp1","ssp1",15007,"2080s",17.4405858107516,-4.31885039456636
"CM5.ssp1","ssp1",15007,"2080s",-4.40462691582671,-8.41837923574793
"CM6.ssp1","ssp1",15007,"2080s",-11.2897085866457,-10.6495124371869
"CM7.ssp1","ssp1",15007,"2080s",-8.80095917037991,-6.90097883043006
"CM8.ssp1","ssp1",15007,"2080s",-5.95769072312681,-9.74920203572153
"CM9.ssp1","ssp1",15007,"2080s",-2.34719220773664,-5.11769333868059
"CM10.ssp1","ssp1",15007,"2080s",4.4731096602715,-2.6846638863161
"CM11.ssp1","ssp1",15007,"2080s",3.08138618288444,-3.45743155546853
"CM12.ssp1","ssp1",15007,"2080s",-3.58462020625469,-3.67853824368968
"CM1.ssp3","ssp3",15007,"2080s",-12.8338908984278,-13.4520716815428
"CM2.ssp3","ssp3",15007,"2080s",-18.1903172743518,-15.6497482270783
"CM3.ssp3","ssp3",15007,"2080s",-13.1229458953246,-11.9909299194542
"CM4.ssp3","ssp3",15007,"2080s",-1.63380333155199,-10.0379321809059
"CM5.ssp3","ssp3",15007,"2080s",-18.6345465964748,-22.9101478362381
"CM6.ssp3","ssp3",15007,"2080s",-16.0790865859958,-15.2454523869837
"CM7.ssp3","ssp3",15007,"2080s",-14.869476530689,-12.1225793510276
"CM8.ssp3","ssp3",15007,"2080s",-12.2130868576137,-13.4515675177856
"CM9.ssp3","ssp3",15007,"2080s",-18.2607221535076,-15.4580854290708
"CM10.ssp3","ssp3",15007,"2080s",-7.25408092591225,-10.3192044601878
"CM11.ssp3","ssp3",15007,"2080s",-10.3425731868187,-13.5115363886505
"CM12.ssp3","ssp3",15007,"2080s",-4.15940258948892,-4.96127805601569
"CM1.ssp5","ssp5",15007,"2080s",-15.5631288252512,-17.3070639756153
"CM2.ssp5","ssp5",15007,"2080s",-22.7312609994472,-19.1981786616259
"CM3.ssp5","ssp5",15007,"2080s",-9.05679047248825,-11.2184676968856
"CM4.ssp5","ssp5",15007,"2080s",4.54477772144498,-9.55877929028506
"CM5.ssp5","ssp5",15007,"2080s",-19.9245978763053,-28.1242004080552
"CM6.ssp5","ssp5",15007,"2080s",-18.3739460624396,-22.3394494378682
"CM7.ssp5","ssp5",15007,"2080s",-18.6089261322891,-15.9842123161598
"CM8.ssp5","ssp5",15007,"2080s",-11.8000250774715,-11.3149661848193
"CM9.ssp5","ssp5",15007,"2080s",-18.3719822148488,-16.4058699850204
"CM10.ssp5","ssp5",15007,"2080s",-11.5542148766142,-9.33761823798258
"CM11.ssp5","ssp5",15007,"2080s",-8.4610526859587,-8.71424224550208
"CM12.ssp5","ssp5",15007,"2080s",-9.33593603363489,-11.2369149042678
