Station No.,Easting ,Northing,FEMI AREA,CENTE (m),CENTN (m),SAAR (mm),FARL (index),URBEXT (Prop),FOREST (Prop),PEAT (Prop),ALLUV (Prop),FLATWET (index),SAAPE (mm),FAI (Prop),BFIsoil (index),NETLEN (km),STMFRQ (no.),DRAIND (km/km^2),MSL (km),S1085 (m/km),TAYSLO,ARTDRAIN (Prop),ARTDRAIN2 (Prop),Period,cliffs_delta,Comparison,Indicator
22006,97283,89452,328.82,109850,89040,1819.32,0.961,0.0054,0.1557,0.4947,0.0414,0.66,503.89,0.12,0.3884,415.886,543,1.265,45.138,9.42058,0.696612,0,0,2080s,-0.888888889,SSP3 vs SSP1,Pct_Q95
22035,89143,91131,559.65,100940,89040,2009.91,0.731,0.0097,0.1637,0.4823,0.032,0.67,506.83,0.16,0.6368,762.977,1332,1.363,56.299,7.57974,0.43193,0,0,2080s,-0.875,SSP3 vs SSP1,Pct_Q95
23002,99704,133329,646.84,109130,122100,1345,1,0.0036,0.2617,0.2362,0.0375,0.63,513.61,0.06,0.3117,718.613,861,1.111,50.536,4.30847,0.685014,0.001,0.0019,2080s,-0.819444444,SSP3 vs SSP1,Pct_Q95
24008,147984,143797,806.04,161150,133340,939.47,0.999,0.0069,0.0242,0.0008,0.0734,0.6,533.32,0.24,0.535,866.245,676,1.075,56.203,2.13954,0.299319,0.1251,0.52,2080s,-0.75,SSP3 vs SSP1,Pct_Q95
24030,131830,129038,258.9,135390,125090,1051.24,1,0.0107,0.0279,0.0063,0.0398,0.61,526.12,0.21,0.526,283.812,239,1.096,27.155,2.40385,0.387638,0.089,0.3997,2080s,-0.777777778,SSP3 vs SSP1,Pct_Q95
25001,164252,157655,647.55,178310,152980,1166.21,0.999,0.0053,0.2012,0.0648,0.0716,0.59,522.26,0.24,0.5185,888.265,1030,1.372,53.239,4.07314,0.376084,0.0845,0.0458,2080s,-0.888888889,SSP3 vs SSP1,Pct_Q95
25002,167895,154922,221.6,178050,161870,1299.96,0.999,0.0018,0.3337,0.114,0.0658,0.59,516.45,0.15,0.542,314.027,376,1.417,40.894,6.87652,0.821994,0.084,0.0499,2080s,-0.833333333,SSP3 vs SSP1,Pct_Q95
25006,211521,224385,1162.76,227880,230990,931.99,0.955,0.0189,0.0753,0.1007,0.0604,0.63,495.06,0.25,0.7083,846.172,629,0.728,67.324,0.75425,0.160127,0.2802,0.5109,2080s,-0.916666667,SSP3 vs SSP1,Pct_Q95
25030,164180,184264,279,158770,188420,1183.81,0.85,0.0013,0.3584,0.1623,0.0396,0.61,522.56,0.15,0.5415,341.458,351,1.219,37.319,3.94408,0.261203,0,0,2080s,-0.763888889,SSP3 vs SSP1,Pct_Q95
25034,241597,246359,10.8,243720,246350,968.6,1,0,0.0138,0,0.0075,0.65,493.52,0.05,0.759,2.942,1,0.273,2.836,2.57182,0.549592,0.0877,0.6784,2080s,-0.833333333,SSP3 vs SSP1,Pct_Q95
26021,216090,257001,1098.78,236700,272650,945.25,0.807,0.0041,0.0737,0.075,0.0223,0.66,485.7,0.19,0.8276,816.976,607,0.744,90.239,0.19869,0.13351,0.1662,0.6339,2080s,-0.861111111,SSP3 vs SSP1,Pct_Q95
26058,249641,281175,56.068,255060,277760,974.17,0.995,0.0111,0.0405,0.0047,0.0279,0.65,488.49,0.1064,0.759176403,26.455,19,0.472,14.38,5.63483,0.389658,0.1055,0.7024,2080s,-0.805555556,SSP3 vs SSP1,Pct_Q95
27002,134416,180311,511.4,134102,190475,1336.35,0.835,0.0008,0.1195,0.038,0.0135,0.62,532.6,0.07,0.697,303.144,391,0.537,40.392,1.21831,0.170204,0,0,2080s,-0.708333333,SSP3 vs SSP1,Pct_Q95
30007,142067,253763,469.9,151460,267470,1115.06,0.989,0.005,0.0413,0.1921,0.0219,0.7,461.44,0.14,0.6455,380.622,302,0.81,50.334,1.08551,0.226748,0.1168,0.6865,2080s,-0.888888889,SSP3 vs SSP1,Pct_Q95
32012,99692,294311,146.2,105650,301310,1784.36,0.843,0,0.2514,0.5285,0.0242,0.72,471.21,0.14,0.5945,278.708,483,1.907,31.358,4.10196,0.224473,0,0,2080s,-0.944444444,SSP3 vs SSP1,Pct_Q95
33001,89471,333675,76.1,95480,333070,1466.61,0.998,0,0.2523,0.637,0.0235,0.73,482.7,0.1,0.285,119.049,152,1.564,17.647,10.44903,2.713579,0,0,2080s,-0.805555556,SSP3 vs SSP1,Pct_Q95
34001,124321,317816,1974.76,129200,299360,1322.66,0.825,0.0083,0.0941,0.3151,0.0234,0.73,461.48,0.2,0.7762,2669.455,3523,1.352,88.856,0.71941,0.174183,0.136,0.3359,2080s,-0.847222222,SSP3 vs SSP1,Pct_Q95
35002,163917,325724,81.1,155855,323805,1380.56,0.986,0,0.3404,0.2455,0.0359,0.72,465.02,0.18,0.4219,151.046,289,1.701,25.658,13.26284,0.723611,0,0,2080s,-0.875,SSP3 vs SSP1,Pct_Q95
35005,166818,329034,639.65,165930,315240,1198.32,0.898,0.002,0.1404,0.114,0.0291,0.71,462.65,0.21,0.6086,836.129,1226,1.307,41.034,1.15372,0.143896,0,0,2080s,-0.875,SSP3 vs SSP1,Pct_Q95
