Scenario,Catchment,Median_Pct_Q95,Median_Pct_BFI,Easting ,Northing,FEMI AREA,CENTE (m),CENTN (m),SAAR (mm),FARL (index),URBEXT (Prop),FOREST (Prop),PEAT (Prop),ALLUV (Prop),FLATWET (index),SAAPE (mm),FAI (Prop),BFIsoil (index),NETLEN (km),STMFRQ (no.),DRAIND (km/km^2),MSL (km),S1085 (m/km),TAYSLO,ARTDRAIN (Prop),ARTDRAIN2 (Prop)
ssp5,25030,-10.86494356,-13.61819943,164180,184264,279,158770,188420,1183.81,0.85,0.0013,0.3584,0.1623,0.0396,0.61,522.56,0.15,0.5415,341.458,351,1.219,37.319,3.94408,0.261203,0,0
ssp5,25034,-7.556475857,-11.27775508,241597,246359,10.8,243720,246350,968.6,1,0,0.0138,0,0.0075,0.65,493.52,0.05,0.759,2.942,1,0.273,2.836,2.57182,0.549592,0.0877,0.6784
ssp5,26021,-7.939836088,-11.2823077,216090,257001,1098.78,236700,272650,945.25,0.807,0.0041,0.0737,0.075,0.0223,0.66,485.7,0.19,0.8276,816.976,607,0.744,90.239,0.19869,0.13351,0.1662,0.6339
ssp5,26058,-8.693622346,-11.78040678,249641,281175,56.068,255060,277760,974.17,0.995,0.0111,0.0405,0.0047,0.0279,0.65,488.49,0.1064,0.759176403,26.455,19,0.472,14.38,5.63483,0.389658,0.1055,0.7024
ssp5,27002,-39.64602542,-31.03816657,134416,180311,511.4,134102,190475,1336.35,0.835,0.0008,0.1195,0.038,0.0135,0.62,532.6,0.07,0.697,303.144,391,0.537,40.392,1.21831,0.170204,0,0
ssp5,30007,-10.14188336,-13.85920428,142067,253763,469.9,151460,267470,1115.06,0.989,0.005,0.0413,0.1921,0.0219,0.7,461.44,0.14,0.6455,380.622,302,0.81,50.334,1.08551,0.226748,0.1168,0.6865
ssp5,32012,-14.50958686,-17.13307213,99692,294311,146.2,105650,301310,1784.36,0.843,0,0.2514,0.5285,0.0242,0.72,471.21,0.14,0.5945,278.708,483,1.907,31.358,4.10196,0.224473,0,0
ssp5,33001,-12.83550711,-17.27514445,89471,333675,76.1,95480,333070,1466.61,0.998,0,0.2523,0.637,0.0235,0.73,482.7,0.1,0.285,119.049,152,1.564,17.647,10.44903,2.713579,0,0
ssp5,34001,-10.69321746,-14.81937538,124321,317816,1974.76,129200,299360,1322.66,0.825,0.0083,0.0941,0.3151,0.0234,0.73,461.48,0.2,0.7762,2669.455,3523,1.352,88.856,0.71941,0.174183,0.136,0.3359
ssp5,35002,-17.8481443,-16.93381497,163917,325724,81.1,155855,323805,1380.56,0.986,0,0.3404,0.2455,0.0359,0.72,465.02,0.18,0.4219,151.046,289,1.701,25.658,13.26284,0.723611,0,0
ssp5,35005,-11.57866923,-15.41816514,166818,329034,639.65,165930,315240,1198.32,0.898,0.002,0.1404,0.114,0.0291,0.71,462.65,0.21,0.6086,836.129,1226,1.307,41.034,1.15372,0.143896,0,0
ssp5,36015,-8.79896942,-13.73575734,253737,325767,98.269,257110,330580,1024.37,0.93,0.0001,0.0329,0.0093,0.0431,0.68,480.66,0.1512,0.604613378,144.345,204,1.469,24.338,3.01763,0.401119,0.0012,0
ssp5,36019,-31.58157397,-33.03453363,235975,316672,1491.75,249750,304810,971.21,0.761,0.0067,0.0425,0.0151,0.0327,0.67,478.19,0.15,0.7865,1506.338,1508,1.01,78.577,1.1912,0.163824,0.0001,0
ssp5,38001,-15.85935531,-14.18004089,176545,392706,111.24,185550,394980,1753.2,0.922,0.0029,0.2172,0.344,0.0312,0.7,498.14,0.12,0.2849,263.736,576,2.371,25.739,5.95043,0.661158,0,0
